,,Percent with access,,,,,,
 Albania  , ,34,,,,,,
 Algeria  , ,31,,,,,,
 Angola  , ,25,,,,,,
 Antigua and Barbuda  , ,48,,,,,,
 Argentina  , ,28,,,,,,
 Armenia  , s  ,9,,,,,,
 Austria  , s  ,96,,,,,,
 Azerbaijan  , ,17,,,,,,
" Bahamas, The  ", ,53,,,,,,
 Bangladesh  , ,32,,,,,,
 Barbados  , ,56,,,,,,
 Belarus  , ,16,,,,,,
 Belgium  , s  ,97,,,,,,
 Belize  , ,46,,,,,,
 Benin  , ,32,,,,,,
 Bermuda  , ,48,,,,,,
 Bhutan  , ,16,,,,,,
 Bolivia  , ,30,,,,,,
 Bosnia and Herzegovina  , ,17,,,,,,
 Botswana  , s  ,47,,,,,,
 Brazil  , s  ,43,,,,,,
 Bulgaria  , s  ,56,,,,,,
 Burkina Faso  , ,26,,,,,,
 Burundi  , ,17,,,,,,
 Cambodia  , ,20,,,,,,
 Cameroon  , ,24,,,,,,
 Canada  , s  ,96,,,,,,
 Cape Verde  , ,40,,,,,,
 Central African Republic  , ,19,,,,,,
 Chile  , ,60,,,,,,
 China  , s  ,42,,,,,,
 Colombia  , s  ,41,,,,,,
 Comoros  , ,20,,,,,,
" Congo, Rep. Of  ", ,27,,,,,,
 Costa Rica  , ,29,,,,,,
 Cote d’Ivoire  , s  ,25,,,,,,
 Croatia  , ,42,,,,,,
 Cuba  , ,45,,,,,,
 Cyprus  , s  ,85,,,,,,
 Czech Republic  , s  ,85,,,,,,
 Denmark  , s  ,99,,,,,,
 Dominica  , ,66,,,,,,
 Dominican Republic  , ,29,,,,,,
 Ecuador  , s  ,35,,,,,,
" Egypt, Arab. Rep. of  ", ,41,,,,,,
 El Salvador  , ,26,,,,,,
 Eritrea  , ,12,,,,,,
 Estonia  , s  ,86,,,,,,
 Ethiopia  , ,14,,,,,,
 Fiji  , ,39,,,,,,
 Finland  , s  ,99,,,,,,
 France  , s  ,96,,,,,,
 Gabon  , ,39, , , , , , 
" Gambia, The  ", ,21,,,,,,
 Georgia  , ,15,,,,,,
 Germany  , s  ,97,,,,,,
 Ghana  , ,16,,,,,,
 Greece  , s  ,83,,,,,,
 Grenada  , ,37,,,,,,
 Guatemala  , ,32,,,,,,
 Guinea  , ,20,,,,,,
 Guyana  , ,20,,,,,,
 Haiti  , ,15,,,,,,
 Honduras  , ,25,,,,,,
 Hungary  , s  ,66,,,,,,
 India  , s  ,48,,,,,,
 Indonesia  , ,40,,,,,,
" Iran, Islamic Rep. of  ", ,31,,,,,,
 Iraq  , ,17,,,,,,
 Ireland  , s  ,88,,,,,,
 Italy  , s  ,75,,,,,,
 Jamaica  , s  ,59,,,,,,
 Jordan  , ,37,,,,,,
 Kazakhstan  , ,48,,,,,,
 Kenya  , s  ,10,,,,,,
" Korea, Rep. of  ", ,63,,,,,,
 Kyrgyz Republic  , ,14,,,,,,
 Latvia  , s  ,64,,,,,,
 Lesotho  , s  ,17,,,,,,
 Liberia  , ,11,,,,,,
 Libya  , ,27,,,,,,
 Lithuania  , s  ,70,,,,,,
